Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/26,15/12,7/14,-,-,-
2024,11/8,11/8,-,-,-,-
2023,5/5,2/1,3/4,-,-,-
2022,0/3,-,0/3,-,-,-
2021,6/9,2/2,4/7,-,-,-
2020,0/1,0/1,-,-,-,-
