Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,57/43,16/17,34/20,7/6,-,-
2024,11/12,7/9,4/3,-,-,-
2023,20/15,9/7,9/5,2/3,-,-
2022,13/7,-,8/4,5/3,-,-
2021,10/7,0/1,10/6,-,-,-
2020,3/2,-,3/2,-,-,-
