Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,476/405,218/185,102/93,140/104,2/11,14/12
2024,5/5,5/5,-,-,-,-
2023,13/24,11/17,1/2,1/4,0/1,-
2022,23/35,6/11,5/11,10/9,0/3,2/1
2021,46/25,19/10,8/5,17/9,0/1,2/0
2020,16/16,8/5,1/3,6/7,-,1/1
2019,36/33,19/12,13/12,4/4,0/1,0/4
2018,23/34,13/14,5/13,2/5,1/1,2/1
2017,41/35,16/11,13/14,11/7,0/1,1/2
2016,54/35,19/15,16/9,18/8,0/1,1/2
2015,51/34,10/17,13/6,25/11,-,3/0
2014,34/27,14/14,5/3,15/9,0/1,-
2013,42/28,25/14,0/1,15/11,1/1,1/1
2012,37/25,21/12,5/5,11/8,-,-
2011,32/26,17/16,15/6,0/4,-,-
2010,10/6,8/4,-,2/2,-,-
2009,9/9,5/5,-,3/4,-,1/0
2008,4/4,2/2,2/1,0/1,-,-
2007,0/3,0/1,0/1,0/1,-,-
2006,0/1,-,0/1,-,-,-
