Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,442/281,293/146,66/60,66/55,16/19,1/1
2024,24/28,17/16,5/8,-,2/4,-
2023,46/31,31/15,6/8,4/5,4/3,1/0
2022,37/27,24/17,4/3,7/4,2/3,-
2021,18/24,14/11,1/4,1/5,2/4,-
2020,60/22,48/13,7/5,5/4,-,-
2019,28/17,25/13,0/1,1/2,2/1,-
2018,28/22,26/12,2/8,0/1,0/1,-
2017,55/28,21/9,10/8,20/7,4/3,0/1
2016,50/25,31/10,12/8,7/7,-,-
2015,26/14,12/7,6/3,8/4,-,-
2014,13/3,13/3,-,-,-,-
2013,10/4,2/2,8/2,-,-,-
2012,8/4,6/3,2/1,-,-,-
2011,9/4,7/2,-,2/2,-,-
2010,10/10,6/6,3/1,1/3,-,-
2009,11/13,6/5,-,5/8,-,-
2008,9/4,4/2,-,5/2,-,-
2007,0/1,-,-,0/1,-,-
