Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,57/37,21/21,29/12,-,-,7/4
2024,16/5,-,16/5,-,-,-
2023,13/6,0/1,9/3,-,-,4/2
2022,12/10,7/5,2/3,-,-,3/2
2021,16/16,14/15,2/1,-,-,-
