Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,470/327,136/79,193/152,91/56,37/29,13/11
2024,0/2,0/2,-,-,-,-
2023,2/1,-,1/1,1/0,-,-
2018,15/13,2/2,6/6,3/3,4/2,-
2017,36/19,3/4,15/8,11/4,7/3,-
2016,16/18,9/4,3/10,1/1,3/3,-
2015,34/22,11/5,15/9,4/6,3/2,1/0
2014,39/24,9/6,20/14,2/1,5/3,3/0
2013,33/24,12/6,9/12,8/2,3/2,1/2
2012,35/22,12/3,16/13,2/3,2/3,3/0
2011,37/27,5/5,17/11,13/6,1/2,1/3
2010,30/26,15/6,6/12,8/4,1/2,0/2
2009,38/25,8/6,19/13,9/5,0/1,2/0
2008,22/26,7/8,12/12,3/4,0/1,0/1
2007,34/19,10/5,15/9,4/2,3/2,2/1
2006,21/25,10/7,11/12,0/4,-,0/2
2005,43/17,14/4,21/7,4/4,4/2,-
2004,23/11,5/3,7/3,10/4,1/1,-
2003,12/6,4/3,-,8/3,-,-
