https://www.tennisexplorer.com/res/img/player/ILaiSGJL-8pqeq8i2.jpeg
Ichikawa Taisei
Country: Japan
Age: 23 (21. 12. 2000)
Current/Highest rank - singles: 840. / 686.
Current/Highest rank - doubles: 429. / 308.
Sex: man
Plays: left
