Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,102/100,21/17,76/77,5/6,-,-
2024,12/11,-,10/9,2/2,-,-
2023,35/25,6/5,29/19,0/1,-,-
2022,16/18,4/2,12/15,0/1,-,-
2021,11/19,3/3,8/16,-,-,-
2019,21/23,8/7,11/15,2/1,-,-
2018,4/3,-,3/2,1/1,-,-
2017,3/1,-,3/1,-,-,-
