Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,61/53,33/31,28/22,-,-,-
2024,12/10,12/9,0/1,-,-,-
2023,19/14,14/8,5/6,-,-,-
2022,9/10,1/3,8/7,-,-,-
2021,18/11,5/5,13/6,-,-,-
2020,2/7,0/5,2/2,-,-,-
2019,1/1,1/1,-,-,-,-
