Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/21,0/2,20/16,3/1,-,11/2
2024,10/11,0/2,10/9,-,-,-
2023,22/8,-,10/6,3/1,-,9/1
2022,2/2,-,0/1,-,-,2/1
