Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/16,4/11,6/5,-,-,-
2024,8/12,2/7,6/5,-,-,-
2023,0/1,0/1,-,-,-,-
2022,2/2,2/2,-,-,-,-
2021,0/1,0/1,-,-,-,-
