Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,303/266,42/34,197/181,18/25,43/25,3/1
2024,0/1,-,0/1,-,-,-
2023,14/11,3/2,11/9,-,-,-
2022,8/11,2/2,5/6,0/2,1/1,-
2021,20/16,2/4,17/10,1/2,-,-
2020,1/5,0/2,1/2,0/1,-,-
2019,27/22,6/5,19/16,2/1,-,-
2018,17/27,4/4,12/20,0/1,1/2,-
2017,35/29,8/5,26/22,1/2,-,-
2016,30/27,7/4,18/18,0/1,4/3,1/1
2015,29/33,0/1,20/24,1/3,6/5,2/0
2014,37/28,1/1,30/21,1/2,5/4,-
2013,44/24,1/1,21/16,2/1,20/6,-
2012,38/26,8/3,15/14,10/6,5/3,-
2011,2/3,-,1/1,0/1,1/1,-
2010,1/1,-,1/1,-,-,-
2009,0/2,-,-,0/2,-,-
