Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,89/84,21/22,57/50,5/4,2/2,4/6
2024,18/17,0/1,18/16,-,-,-
2023,35/28,7/6,17/10,5/4,2/2,4/6
2022,21/20,8/8,13/12,-,-,-
2021,15/16,6/7,9/9,-,-,-
2020,0/2,-,0/2,-,-,-
2017,0/1,-,0/1,-,-,-
