Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,588/478,373/287,144/114,66/68,5/9,-
2024,17/21,15/14,2/7,-,-,-
2023,47/32,29/17,14/12,3/2,1/1,-
2022,21/33,11/20,9/9,0/2,1/2,-
2021,40/39,18/17,6/8,13/11,3/3,-
2020,19/20,12/13,5/4,2/3,-,-
2019,48/38,37/26,2/7,9/4,0/1,-
2018,53/39,37/24,10/12,6/3,-,-
2017,40/35,36/27,2/5,2/2,0/1,-
2016,37/40,24/20,1/7,12/12,0/1,-
2015,49/30,42/21,-,7/9,-,-
2014,48/32,26/19,17/6,5/7,-,-
2013,46/25,29/18,17/7,-,-,-
2012,32/28,23/16,6/3,3/9,-,-
2011,46/24,7/7,38/15,1/2,-,-
2010,24/25,16/18,5/5,3/2,-,-
2009,14/12,7/7,7/5,-,-,-
2008,7/5,4/3,3/2,-,-,-
