Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,397/287,66/58,217/147,46/40,55/35,13/7
2024,30/18,8/5,10/8,2/1,10/4,-
2023,33/21,6/6,18/11,2/1,7/3,-
2022,28/20,7/6,10/9,2/1,7/4,2/0
2021,19/16,0/1,10/12,5/0,4/3,-
2020,8/11,1/3,6/6,1/2,-,-
2019,37/24,7/3,19/13,5/5,4/3,2/0
2018,34/25,8/5,13/11,6/5,7/4,-
2017,37/27,7/4,14/13,8/6,6/3,2/1
2016,29/31,1/7,20/15,6/4,2/5,-
2015,26/29,7/8,11/12,5/5,2/2,1/2
2014,19/25,1/2,15/17,0/2,1/2,2/2
2013,24/19,0/2,14/8,2/6,5/2,3/1
2012,44/13,1/1,40/9,2/2,-,1/1
2011,29/6,12/3,17/3,-,-,-
2010,0/2,0/2,-,-,-,-
