Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,98/49,74/41,-,1/1,-,23/7
2024,24/12,19/10,-,-,-,5/2
2023,56/19,41/15,-,1/1,-,14/3
2022,16/12,12/10,-,-,-,4/2
2021,2/4,2/4,-,-,-,-
2019,0/2,0/2,-,-,-,-
