Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,113/63,44/18,55/31,8/8,-,6/6
2024,16/12,3/2,12/8,1/1,-,0/1
2023,28/18,5/3,17/10,-,-,6/5
2019,4/2,-,4/2,-,-,-
2018,15/5,7/2,7/2,1/1,-,-
2017,14/7,7/5,3/1,4/1,-,-
2016,5/5,-,4/3,1/2,-,-
2015,17/5,11/1,5/2,1/2,-,-
2014,3/4,0/1,3/2,0/1,-,-
2013,11/4,11/4,-,-,-,-
2012,0/1,-,0/1,-,-,-
