Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/20,4/7,-,-,-,8/13
2024,6/11,3/5,-,-,-,3/6
2023,5/8,0/1,-,-,-,5/7
2012,1/1,1/1,-,-,-,-
