Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,9/12,-,1/2,3/5,-,5/5
2024,0/2,-,0/1,0/1,-,-
2023,8/9,-,1/1,2/3,-,5/5
2022,1/1,-,-,1/1,-,-
