Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,635/403,475/243,112/103,28/28,13/22,7/7
2024,11/18,5/7,6/7,-,0/4,-
2023,16/29,4/12,10/13,0/1,2/3,-
2022,32/26,20/10,9/7,0/5,2/3,1/1
2021,38/23,11/7,18/10,6/4,2/1,1/1
2020,25/15,15/4,5/6,5/5,-,-
2019,44/27,15/9,18/10,4/3,6/3,1/2
2018,33/26,17/9,9/10,3/5,1/2,3/0
2017,40/28,18/12,15/10,6/3,0/2,1/1
2016,34/24,22/9,8/11,4/2,0/2,-
2015,36/30,30/19,6/7,-,0/2,0/2
2014,57/27,57/24,0/3,-,-,-
2013,45/31,41/27,4/4,-,-,-
2012,60/21,60/20,0/1,-,-,-
2011,64/31,62/28,2/3,-,-,-
2010,53/24,53/24,-,-,-,-
2009,45/19,43/18,2/1,-,-,-
2008,2/4,2/4,-,-,-,-
