Time,Strasbourg,S,1,2,3,4,5,H2H,H,A,header
23. 05. 2025 14:30,Rybakina E. (4),,,,,,,1,1.25,3.91
23. 05. 2025 -,Haddad Maia B. (9),,,,,,,2,,
23. 05. 2025 16:30,Collins D.,,,,,,,0,1.53,2.46
23. 05. 2025 -,Samsonova L. (8),,,,,,,1,,
Time,Rabat,S,1,2,3,4,5,H2H,H,A,header
23. 05. 2025 14:00,Tomljanovic A.,,,,,,,0,2.43,1.54
23. 05. 2025 -,Joint M.,,,,,,,0,,
23. 05. 2025 15:30,Cristian J.,,,,,,,1,1.99,1.80
23. 05. 2025 -,Osorio C. (2),,,,,,,0,,
Time,Kursumlijska Banja 5 ITF,S,1,2,3,4,5,H2H,H,A,header
23. 05. 2025 10:10,Curmi F.,,,,,,,0,1.65,2.12
23. 05. 2025 -,Kulambayeva Z. (7),,,,,,,0,,
23. 05. 2025 10:10,McNally C. (5),2,6,6,,,,,1.18,4.34
23. 05. 2025 -,Bara I. (2),0,2,3,,,,,,
23. 05. 2025 11:40,Siskova A.,,,,,,,0,1.68,2.07
23. 05. 2025 -,Kostovic T.,,,,,,,0,,
23. 05. 2025 12:15,Charaeva A. (3),,,,,,,0,1.61,2.17
23. 05. 2025 -,Karatancheva L. (8),,,,,,,0,,
Time,Pelham ITF,S,1,2,3,4,5,H2H,H,A,header
23. 05. 2025 17:00,Sahdiieva A.,,,,,,,0,3.49,1.27
23. 05. 2025 -,Anderson R. (8),,,,,,,0,,
23. 05. 2025 17:00,Hule P. (5),,,,,,,0,2.19,1.61
23. 05. 2025 -,Lee G.,,,,,,,0,,
23. 05. 2025 18:30,Okalova M.,,,,,,,1,1.89,1.81
23. 05. 2025 -,Ma L. (7),,,,,,,0,,
23. 05. 2025 18:30,Hu V. (6),,,,,,,0,2.88,1.37
23. 05. 2025 -,Herrero Linana A.,,,,,,,0,,
Time,Portoroz ITF,S,1,2,3,4,5,H2H,H,A,header
23. 05. 2025 13:00,Rinaldo Persson K.,,,,,,,0,2.40,1.44
23. 05. 2025 -,Toth A.,,,,,,,0,,
23. 05. 2025 13:00,Ortenzi J. (3),,,,,,,0,1.32,2.92
