1.,Sinner Jannik, Italy,11180
2.,Zverev Alexander, Germany,6875
3.,Alcaraz Carlos, Spain,6690
4.,Djokovic Novak, Serbia,5560
5.,Medvedev Daniil, Russia,5475
6.,Rublev Andrey, Russia,4645
7.,Fritz Taylor, USA,4060
8.,Hurkacz Hubert, Poland,4060
9.,Ruud Casper, Norway,4010
10.,Dimitrov Grigor, Bulgaria,3920
11.,De Minaur Alex, Australia,3655
12.,Tsitsipas Stefanos, Greece,3390
13.,Paul Tommy, USA,3005
14.,Rune Holger, Denmark,2780
15.,Tiafoe Frances, USA,2560
16.,Korda Sebastian, USA,2520
17.,Shelton Ben, USA,2490
18.,Humbert Ugo, France,2370
19.,Musetti Lorenzo, Italy,2355
20.,Draper Jack, Great Britain,2315
21.,Auger Aliassime Felix, Canada,2170
22.,Tabilo Alejandro, Chile,1963
23.,Popyrin Alexei, Australia,1825
24.,Fils Arthur, France,1775
25.,Baez Sebastian, Argentina,1760
26.,Bublik Alexander, Kazakhstan,1690
27.,Khachanov Karen, Russia,1680
28.,Jarry Nicolas, Chile,1635
29.,Thompson Jordan, Australia,1566
30.,Borges Nuno, Portugal,1515
31.,Cerundolo Francisco, Argentina,1500
32.,Cobolli Flavio, Italy,1482
33.,Arnaldi Matteo, Italy,1390
34.,Machac Tomas, Czech Republic,1374
35.,Etcheverry Tomas Martin, Argentina,1370
36.,Nakashima Brandon, USA,1360
37.,Lehecka Jiri, Czech Republic,1345
38.,Struff Jan-Lennard, Germany,1310
39.,Griekspoor Tallon, Netherlands,1300
40.,Navone Mariano, Argentina,1278
41.,Darderi Luciano, Italy,1265
42.,Martinez Pedro, Spain,1207
43.,Zhang Zhizhen, China,1205
44.,Mannarino Adrian, France,1184
45.,Berrettini Matteo, Italy,1165
46.,Monfils Gael, France,1160
47.,Giron Marcos, USA,1150
48.,Marozsan Fabian, Hungary,1120
49.,Michelsen Alex, USA,1115
50.,Sonego Lorenzo, Italy,1081
51.,Mpetshi Perricard Giovanni, France,1073
52.,Norrie Cameron, Great Britain,995
53.,Carballes Baena Roberto, Spain,955
54.,Kecmanovic Miomir, Serbia,945
55.,Shang Juncheng, China,895
