Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,6/9,3/2,3/7,-,-,-
2024,1/3,-,1/3,-,-,-
2023,2/2,1/1,1/1,-,-,-
2022,3/4,2/1,1/3,-,-,-
