Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,64/70,29/37,25/26,10/7,-,-
2024,10/14,4/8,4/5,2/1,-,-
2023,19/21,3/8,12/10,4/3,-,-
2022,26/21,14/9,8/9,4/3,-,-
2021,7/9,6/7,1/2,-,-,-
2020,2/5,2/5,-,-,-,-
