Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,McKennon M.,2,,,,,,3,4,48%,90% (19/21),48% (11/23),67% (2/3),35% (7/20),75% (15/20),50% (5/10),2,4,68% (30/44),55% (22/40),62% (52/84),6,0,88% (7/8),71% (5/7),80% (12/15),"['2', '2', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.69
25.08.,Kielan S.,0,,,,,,1,8,50%,65% (13/20),25% (5/20),50% (5/10),10% (2/21),52% (12/23),33% (1/3),1,2,45% (18/40),32% (14/44),38% (32/84),4,0,29% (2/7),13% (1/8),20% (3/15),"['2', '1']",[],[],[],[],2.07
24.08.,Kielan S.,2,,,,,,10,6,60%,73% (33/45),47% (14/30),91% (10/11),42% (22/53),50% (6/12),43% (3/7),40,39,58% (15/26),63% (47/75),40% (26/65),52% (73/140),5,0,55% (6/11),67% (6/9),60% (12/20),"['2', '1']","['1', '0', '2', '1']",[],[],[],2.07
24.08.,Vilicich B.,0,,,,,,0,0,82%,62% (33/53),50% (6/12),57% (4/7),27% (12/45),53% (16/30),9% (1/11),10,14,0% (0/1),60% (39/65),37% (28/75),48% (67/140),5,1,33% (3/9),45% (5/11),40% (8/20),[],"['1', '1']",[],[],[],1.69
27.06.,Kolar Z.,2,,,,,,"['5', '3', '7', '5']",[],"['2', '2', '4', '2']",[],[],1.09
27.06.,Kielan S.,1,,,,,,"['4', '5']","['3', '2', '5', '2']","['2', '1']",[],[],6.15
26.06.,Kielan S.,2,,,,,,"['3', '2', '5', '2']","['2', '1']",[],[],[],2.18
26.06.,Munkhammar P.,0,,,,,,[],[],[],[],[],1.62
24.06.,Kielan S.,2,,,,,,"['2', '5', '4', '5']","['2', '1', '4', '1', '6', '1']","['4', '2']",[],[],2.33
24.06.,Ribero F.,1,,,,,,"['2', '0', '4', '0', '6', '4']",[],[],[],[],1.55
04.06.,Echargui M.,2,,,,,,"['2', '0', '5', '3']","['2', '1', '5', '2']",[],[],[],1.05
04.06.,Kielan S.,0,,,,,,"['3', '4']",[],[],[],[],5.85
19.03.,Vasiliauskas M.,2,,,,,,"['1', '2', '5', '4']","['2', '0', '4', '0', '6', '0']","['2', '2', '4', '2', '6', '2']",[],[],3.81
19.03.,Kielan S.,1,,,,,,"['2', '0', '5', '5']",[],"['2', '1']",[],[],1.23
09.03.,Gombos N.,2,,,,,,0,2,55%,77% (24/31),76% (19/25),50% (1/2),27% (10/37),53% (18/34),38% (3/8),77% (43/56),39% (28/71),56% (71/127),6,0,91% (10/11),27% (3/11),59% (13/22),"['6', '5']","['2', '1', '5', '2']",[],[],[],1.15
09.03.,Kielan S.,0,,,,,,6,3,52%,73% (27/37),47% (16/34),63% (5/8),23% (7/31),24% (6/25),50% (1/2),61% (43/71),23% (13/56),44% (56/127),4,0,73% (8/11),9% (1/11),41% (9/22),[],"['3', '5']",[],[],[],4.95
29.01.,Matusevich A.,2,,,,,,[],[],"['3', '1', '4', '2']",[],[],1.14
29.01.,Kielan S.,1,,,,,,[],[],"['1', '0', '2', '3']",[],[],4.95
22.01.,Hurrion M.,2,,,,,,"['3', '1']",[],[],[],[],1.18
22.01.,Kielan S.,0,,,,,,[],[],[],[],[],4.32
07.01.,Added D.,2,,,,,,"['2', '3', '5', '4']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.15
07.01.,Kielan S.,0,,,,,,"['2', '0']","['1', '1']",[],[],[],4.80
24.10.2024,Heinonen A.,2,,,,,,"['3', '3']","['2', '0', '4', '0', '6', '0']","['2', '2', '7', '5']",[],[],1.43
24.10.2024,Kielan S.,1,,,,,,"['3', '2', '5', '4']",[],"['2', '1']",[],[],2.66
23.10.2024,Kielan S.,2,,,,,,"['2', '5']","['2', '0', '4', '0']","['3', '4', '5', '4']",[],[],1.32
23.10.2024,Lavizzari M.,1,,,,,,"['2', '0', '4', '0']",[],"['3', '1']",[],[],3.14
03.10.2024,Juszczak P.,2,,,,,,"['1', '2', '4', '3']","['3', '1']",[],[],[],-
03.10.2024,Kielan S.,0,,,,,,"['2', '0', '5', '5']",[],[],[],[],-
02.10.2024,Kielan S.,2,,,,,,"['1', '0', '5', '2']","['5', '4']",[],[],[],1.88
02.10.2024,Simundza J.,0,,,,,,[],[],[],[],[],1.78
19.09.2024,Tiurnev E.,1,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],[],-
19.09.2024,Kielan S.,0,,,,,,[],[],[],[],[],-
08.09.2024,Gerch L.,2,,,,,,4,8,61%,72% (54/75),52% (25/48),71% (5/7),28% (20/71),55% (26/47),36% (4/11),64% (79/123),39% (46/118),52% (125/241),7,0,88% (14/16),25% (4/16),56% (18/32),"['2', '0', '6', '2']","['2', '0', '4', '0']",[],[],[],1.14
08.09.2024,Kielan S.,1,,,,,,2,5,60%,72% (51/71),45% (21/47),64% (7/11),28% (21/75),48% (23/48),29% (2/7),61% (72/118),36% (44/123),48% (116/241),3,0,75% (12/16),13% (2/16),44% (14/32),[],"['1', '4', '3', '4']",[],[],[],5.38
27.08.2024,Juszczak P.,2,,,,,,"['5', '5']","['1', '0', '3', '0']",[],[],[],-
27.08.2024,Kielan S.,0,,,,,,"['3', '2']","['3', '5']",[],[],[],-
21.08.2024,Michalski D.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '2']",[],[],[],1.08
21.08.2024,Kielan S.,0,,,,,,[],"['1', '2']",[],[],[],6.80
08.08.2024,Bulus C.,2,,,,,,[],"['3', '1', '5', '3']","['1', '0', '4', '1']",[],[],1.59
08.08.2024,Kielan S.,1,,,,,,"['3', '1']","['3', '4']",[],[],[],2.24
08.08.2024,Kielan S.,2,,,,,,"['4', '3']","['3', '1', '6', '4']","['4', '4', '6', '4']",[],[],1.60
08.08.2024,De Jager J.,1,,,,,,"['4', '4']","['3', '4']","['4', '3']",[],[],2.24
10.09.2023,Diez S.,2,,,,,,0,0,77%,68% (27/40),50% (6/12),67% (4/6),52% (14/27),57% (21/37),55% (6/11),63% (33/52),55% (35/64),59% (68/116),78% (7/9),60% (6/10),68% (13/19),"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '7', '5']",[],[],[],1.08
10.09.2023,Kielan S.,0,,,,,,3,7,42%,48% (13/27),43% (16/37),45% (5/11),33% (13/40),50% (6/12),33% (2/6),45% (29/64),37% (19/52),41% (48/116),40% (4/10),22% (2/9),32% (6/19),[],"['1', '4', '4', '5']",[],[],[],6.88
07.09.2023,Zahraj P.,2,,,,,,[],[],[],[],[],1.41
07.09.2023,Kielan S.,0,,,,,,[],[],[],[],[],2.74
