Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,105/104,6/10,94/91,-,2/2,3/1
2024,32/17,2/1,25/13,-,2/2,3/1
2023,21/22,-,21/22,-,-,-
2022,25/21,2/3,23/18,-,-,-
2021,15/9,-,15/9,-,-,-
2020,2/3,-,2/3,-,-,-
2019,3/12,1/3,2/9,-,-,-
2018,6/16,-,6/16,-,-,-
2017,1/4,1/3,0/1,-,-,-
