Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/32,17/21,9/9,-,-,3/2
2024,6/5,1/3,3/1,-,-,2/1
2023,9/8,7/5,2/2,-,-,0/1
2022,11/17,6/11,4/6,-,-,1/0
2019,0/1,0/1,-,-,-,-
2018,3/1,3/1,-,-,-,-
