Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/14,3/2,23/8,-,-,6/4
2024,20/7,2/1,18/6,-,-,-
2023,5/2,-,5/2,-,-,-
2022,5/3,1/1,-,-,-,4/2
2021,2/2,-,-,-,-,2/2
