Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,445/299,74/37,319/224,18/15,18/14,16/9
2024,24/14,9/2,12/12,-,-,3/0
2023,37/24,2/4,27/17,7/1,1/2,-
2022,32/20,17/8,5/8,5/2,2/2,3/0
2021,41/15,40/14,1/1,-,-,-
2020,4/4,-,1/2,-,-,3/2
2019,26/27,-,24/24,0/2,-,2/1
2018,31/28,0/1,28/25,3/2,-,-
2017,33/25,2/1,28/20,1/1,0/3,2/0
2016,46/27,-,45/23,-,0/1,1/3
2015,43/26,-,38/19,0/1,4/4,1/2
2014,30/22,3/6,15/12,0/2,11/1,1/1
2013,34/23,1/1,32/19,1/2,0/1,-
2012,23/18,-,22/16,1/2,-,-
2011,24/10,-,24/10,-,-,-
2010,9/9,-,9/9,-,-,-
2009,8/7,-,8/7,-,-,-
