Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,508/284,376/194,114/67,18/23,-,-
2024,29/19,29/19,-,-,-,-
2023,36/19,28/14,6/3,2/2,-,-
2022,37/20,32/15,5/5,-,-,-
2021,33/15,31/12,1/2,1/1,-,-
2020,18/9,18/6,0/1,0/2,-,-
2019,46/31,40/23,2/3,4/5,-,-
2018,77/19,67/16,8/2,2/1,-,-
2017,32/18,17/10,8/5,7/3,-,-
2016,8/6,3/3,5/3,-,-,-
2015,52/24,18/11,34/13,-,-,-
2014,40/29,19/16,21/13,-,-,-
2013,29/23,18/14,11/8,0/1,-,-
2012,45/32,32/19,12/8,1/5,-,-
2011,25/16,24/15,1/1,-,-,-
2010,1/1,-,-,1/1,-,-
2009,0/2,0/1,-,0/1,-,-
2008,0/1,-,-,0/1,-,-
