Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,37/35,-,15/15,-,-,22/20
2024,8/7,-,8/7,-,-,-
2023,10/13,-,5/5,-,-,5/8
2022,19/14,-,2/2,-,-,17/12
2021,0/1,-,0/1,-,-,-
