Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Rennes (France),hard,header
11.09. 01:00,Furness E.,1,6,6^5,4,,,6,3,58%,67% (44/66),63% (30/48),82% (9/11),25% (15/61),52% (14/27),75% (3/4),6,65% (74/114),33% (29/88),51% (103/202),3,87% (13/15),20% (3/15),53% (16/30),"['2', '1', '5', '2']","['4', '3']",[],[],[],3.58
11.09. 01:00,Bouquier A.,2,2,7^7,6,,,7,4,69%,75% (46/61),48% (13/27),25% (1/4),33% (22/66),38% (18/48),18% (2/11),7,67% (59/88),35% (40/114),49% (99/202),3,80% (12/15),13% (2/15),47% (14/30),[],"['4', '4']","['4', '3']",[],[],1.27
ITF MEN - SINGLES :  M25 Uriage (France),clay,header
CHALLENGER MEN - SINGLES :  Karlsruhe (Germany),clay,header
03.07. 14:05,Furness E.,0,4,2,,,,3,2,63%,71% (29/41),33% (8/24),40% (2/5),18% (5/28),38% (9/24),0% (0/1),4,57% (37/65),27% (14/52),44% (51/117),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.43
03.07. 14:05,Molleker R.,2,6,6,,,,0,1,54%,82% (23/28),63% (15/24),100% (1/1),29% (12/41),67% (16/24),60% (3/5),6,73% (38/52),43% (28/65),56% (66/117),5,100% (9/9),33% (3/9),67% (12/18),"['3', '2']","['3', '2', '5', '2']",[],[],[],1.29
02.07. 14:05,Furness E.,2,6,6,,,,0,3,63%,61% (22/36),43% (9/21),63% (5/8),58% (33/57),60% (9/15),50% (7/14),6,54% (31/57),58% (42/72),57% (73/129),4,63% (5/8),78% (7/9),71% (12/17),"['1', '0', '4', '1', '5', '2', '6', '3']","['1', '1', '3', '1', '6', '2']",[],[],[],2.07
02.07. 14:05,Dedura-Palomero D.,0,3,2,,,,0,1,79%,42% (24/57),40% (6/15),50% (7/14),39% (14/36),57% (12/21),38% (3/8),4,42% (30/72),46% (26/57),43% (56/129),1,22% (2/9),38% (3/8),29% (5/17),"['2', '4', '3', '5']","['1', '0']",[],[],[],1.70
ITF MEN - SINGLES :  M15 Kamen (Germany),clay,header
26.06. 20:15,Furness E.,0,1,3,,,,[],"['1', '0']",[],[],[],1.19
26.06. 20:15,Zielinski M.,2,6,6,,,,"['1', '0', '3', '0', '6', '1']","['1', '1', '3', '1']",[],[],[],4.37
ITF MEN - SINGLES :  M25 Villeneuve-Loubet+H (France),clay,header
ITF MEN - SINGLES :  M25 Carnac (France),clay,header
CHALLENGER MEN - SINGLES :  Augsburg (Germany),clay,header
