Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,721/604,605/470,84/90,26/33,0/1,6/10
2024,13/23,10/20,3/3,-,-,-
2023,19/30,19/26,0/4,-,-,-
2022,19/24,19/19,0/5,-,-,-
2021,24/23,18/18,6/5,-,-,-
2020,32/28,27/21,5/7,-,-,-
2019,19/28,16/18,3/10,-,-,-
2018,48/28,28/22,20/6,-,-,-
2017,38/34,36/33,2/1,-,-,-
2016,45/37,44/34,1/2,-,-,0/1
2015,46/32,37/26,7/2,2/2,-,0/2
2014,28/29,23/21,2/6,3/2,-,-
2013,45/37,38/29,5/6,0/1,-,2/1
2012,20/30,17/20,2/4,1/4,0/1,0/1
2011,53/27,44/20,7/4,1/2,-,1/1
2010,37/32,32/23,2/3,1/5,-,2/1
2009,61/30,57/26,0/2,4/2,-,-
2008,22/31,17/22,0/2,4/4,-,1/3
2007,25/27,25/23,0/1,0/3,-,-
2006,54/24,43/14,7/7,4/3,-,-
2005,32/24,23/18,4/4,5/2,-,-
2004,23/16,22/11,1/3,0/2,-,-
2003,18/9,10/5,7/3,1/1,-,-
2002,0/1,0/1,-,-,-,-
