Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/29,29/20,9/5,-,2/4,-
2024,24/18,14/11,8/3,-,2/4,-
2023,11/6,10/5,1/1,-,-,-
2022,5/4,5/4,-,-,-,-
2021,0/1,-,0/1,-,-,-
