Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,269/306,42/41,157/200,47/44,23/21,-
2024,8/8,-,8/8,-,-,-
2023,9/19,0/3,6/11,2/3,1/2,-
2022,8/15,0/3,7/10,1/2,-,-
2021,9/12,7/6,2/6,-,-,-
2020,3/1,-,3/1,-,-,-
2019,27/21,12/6,12/14,3/1,-,-
2018,7/18,-,1/13,6/5,-,-
2017,25/18,3/3,17/13,5/2,-,-
2016,21/20,-,15/14,3/2,3/4,-
2015,27/25,2/3,16/18,-,9/4,-
2014,35/27,5/2,14/15,8/5,8/5,-
2013,29/28,9/9,12/14,7/4,1/1,-
2012,16/18,1/1,10/10,5/6,0/1,-
2011,13/20,3/3,8/13,2/4,-,-
2010,4/12,0/2,4/10,-,-,-
2009,4/14,-,4/10,0/2,0/2,-
2008,11/17,-,7/10,3/5,1/2,-
2007,7/6,-,5/4,2/2,-,-
2006,6/7,-,6/6,0/1,-,-
