Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,697/559,77/126,283/205,235/162,94/64,8/2
2024,9/25,0/5,6/14,1/1,1/5,1/0
2023,44/29,2/8,15/13,12/4,12/4,3/0
2022,31/32,1/6,18/14,6/7,4/5,2/0
2021,14/26,0/7,5/7,4/7,4/4,1/1
2020,20/18,0/3,9/8,11/7,-,-
2019,30/31,5/7,13/14,6/7,6/3,-
2018,27/31,1/6,8/11,8/8,9/5,1/1
2017,49/27,8/4,23/12,10/6,8/5,-
2016,37/35,4/7,20/16,3/7,10/5,-
2015,39/31,3/5,22/14,8/7,6/5,-
2014,53/29,3/7,27/12,17/6,6/4,-
2013,43/29,4/5,22/10,11/10,6/4,-
2012,29/26,3/3,15/11,8/8,3/4,-
2011,32/33,5/7,15/12,8/10,4/4,-
2010,42/21,4/4,19/6,14/9,5/2,-
2009,30/29,9/11,7/8,7/7,7/3,-
2008,60/32,7/7,5/4,45/19,3/2,-
2007,47/31,10/9,8/7,29/15,-,-
2006,39/25,4/10,20/6,15/9,-,-
2005,17/16,4/5,6/5,7/6,-,-
2004,5/3,-,0/1,5/2,-,-
