Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,651/264,147/69,390/146,42/18,59/27,13/4
2024,30/15,7/4,20/10,-,3/1,-
2023,23/19,2/3,17/13,-,4/3,-
2022,24/13,6/3,18/9,0/1,-,-
2021,28/9,4/1,18/6,-,6/2,-
2020,18/8,4/4,11/3,3/1,-,-
2019,24/18,7/4,13/10,1/1,2/2,1/1
2018,17/12,1/3,12/6,2/1,2/2,-
2017,4/2,-,-,-,4/2,-
2016,26/3,2/2,22/1,-,-,2/0
2015,35/13,7/3,19/9,-,5/1,4/0
2014,15/9,-,14/7,-,1/2,-
2013,43/9,10/3,31/4,1/2,1/0,-
2012,70/10,12/3,41/3,7/2,10/2,-
2011,60/17,16/4,24/9,8/2,7/2,5/0
2010,42/21,4/6,28/12,4/0,6/2,0/1
2009,46/17,9/4,27/10,5/0,4/1,1/2
2008,40/20,19/7,17/8,2/3,2/2,-
2007,34/18,7/4,21/10,4/2,2/2,-
2006,29/16,10/5,14/7,5/3,0/1,-
2005,26/9,10/3,16/6,-,-,-
2004,12/4,10/3,2/1,-,-,-
2003,5/2,-,5/2,-,-,-
