Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/10,0/1,9/7,-,2/2,-
2024,5/5,0/1,3/2,-,2/2,-
2023,4/4,-,4/4,-,-,-
2022,2/1,-,2/1,-,-,-
