https://www.tennisexplorer.com/res/img/player/0Ccwkhya-vBWbrUod.jpeg
Leykina Polina
Country: Russia
Age: 30 (20. 9. 1994)
Current/Highest rank - singles: 1059. / 184.
Current/Highest rank - doubles: 924. / 230.
Sex: woman
Plays: right
