Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,441/331,253/201,131/75,39/44,0/2,18/9
2024,26/18,12/11,4/5,-,-,10/2
2023,32/23,14/12,10/4,-,-,8/7
2022,27/23,27/22,-,0/1,-,-
2021,27/13,27/13,-,-,-,-
2020,20/18,12/5,8/13,-,-,-
2019,20/26,16/21,-,4/5,-,-
2018,25/27,23/19,1/3,1/5,-,-
2017,29/25,22/18,2/1,5/6,-,-
2016,14/26,3/11,3/4,8/10,0/1,-
2015,55/24,39/15,9/5,7/4,-,-
2014,53/26,14/7,38/15,1/3,0/1,-
2013,39/26,4/7,27/13,8/6,-,-
2012,47/28,16/15,26/9,5/4,-,-
2011,18/17,18/17,-,-,-,-
2010,9/11,6/8,3/3,-,-,-
