https://www.tennisexplorer.com/res/img/player/fFQJY5Zb-2Da7ZnIs.jpeg
Kostyuk Marta
Country: Ukraine
Height / Weight: 171 cm / 60 kg
Age: 22 (28. 6. 2002)
Current/Highest rank - singles: 18. / 16.
Current/Highest rank - doubles: 72. / 27.
Sex: woman
Plays: right
