Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/54,7/2,87/52,-,-,-
2024,42/20,5/0,37/20,-,-,-
2023,23/17,2/2,21/15,-,-,-
2022,29/16,-,29/16,-,-,-
2019,0/1,-,0/1,-,-,-
