Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/29,7/8,12/13,5/8,-,-
2024,15/14,5/5,7/6,3/3,-,-
2023,8/10,2/3,4/4,2/3,-,-
2022,1/5,-,1/3,0/2,-,-
