Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/33,31/31,-,4/2,-,-
2024,8/10,8/10,-,-,-,-
2023,16/14,15/13,-,1/1,-,-
2022,11/5,8/4,-,3/1,-,-
2019,0/4,0/4,-,-,-,-
