Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,363/199,157/86,91/62,115/51,-,-
2024,40/11,13/4,27/7,-,-,-
2023,24/15,17/10,7/5,-,-,-
2022,22/13,15/8,4/3,3/2,-,-
2021,24/16,9/8,0/1,15/7,-,-
2020,25/9,17/4,0/2,8/3,-,-
2019,42/27,13/9,15/12,14/6,-,-
2018,51/24,21/10,9/7,21/7,-,-
2017,29/19,4/2,12/10,13/7,-,-
2016,33/20,12/8,2/4,19/8,-,-
2015,21/19,8/9,4/3,9/7,-,-
2014,42/21,18/10,11/7,13/4,-,-
2013,10/4,10/4,-,-,-,-
2012,0/1,-,0/1,-,-,-
