Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,200/166,93/53,79/77,26/27,2/5,0/4
2023,1/2,-,1/2,-,-,-
2021,0/4,0/1,0/1,0/2,-,-
2019,0/2,-,0/2,-,-,-
2018,1/3,-,1/2,-,0/1,-
2017,0/3,0/1,0/2,-,-,-
2016,2/1,-,2/1,-,-,-
2015,11/14,6/4,2/5,2/4,1/1,-
2014,7/10,1/1,5/7,-,1/2,-
2013,22/16,1/2,21/14,-,-,-
2012,11/17,5/4,4/10,2/3,-,-
2011,10/11,1/2,6/7,3/2,-,-
2010,28/26,12/11,4/8,12/6,0/1,-
2009,52/24,36/11,12/8,4/5,-,-
2008,36/20,20/9,13/4,3/3,-,0/4
2007,15/8,10/4,5/2,0/2,-,-
2006,3/2,0/1,3/1,-,-,-
2004,1/3,1/2,0/1,-,-,-
