Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/14,-,3/1,0/3,-,7/10
2024,9/6,-,3/1,-,-,6/5
2023,1/6,-,-,0/1,-,1/5
2022,0/2,-,-,0/2,-,-
