Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,452/347,118/98,203/169,94/42,26/32,11/6
2024,17/17,10/9,4/7,3/1,-,-
2023,36/18,18/6,18/10,0/1,0/1,-
2022,24/26,8/14,14/11,-,2/1,-
2021,18/18,1/6,6/5,10/5,1/2,-
2020,5/13,1/2,3/8,1/3,-,-
2019,36/29,8/7,19/17,4/2,5/3,-
2018,19/24,2/5,10/13,7/3,0/3,-
2017,22/27,1/5,10/14,9/4,0/4,2/0
2016,37/28,8/6,21/14,6/5,2/3,-
2015,35/32,4/9,21/17,5/1,4/4,1/1
2014,32/28,7/4,12/14,8/6,3/3,2/1
2013,39/26,7/5,18/14,11/3,0/3,3/1
2012,36/26,6/8,21/11,4/2,3/4,2/1
2011,43/22,16/8,10/9,16/3,-,1/2
2010,26/9,10/3,16/5,0/1,-,-
2009,27/4,11/1,-,10/2,6/1,-
