Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,309/222,10/11,265/169,27/31,5/3,2/8
2024,19/14,-,19/12,0/2,-,-
2023,34/22,5/2,28/18,1/2,-,-
2022,23/22,-,20/17,1/4,2/1,-
2021,14/9,0/3,14/6,-,-,-
2020,1/1,-,1/1,-,-,-
2019,27/17,-,20/15,6/2,-,1/0
2018,44/23,-,39/19,5/3,-,0/1
2017,21/18,-,21/12,0/2,-,0/4
2016,24/26,4/3,19/20,0/1,0/1,1/1
2015,31/19,1/1,30/14,0/2,-,0/2
2014,24/16,-,16/12,8/4,-,-
2013,28/17,0/1,21/11,6/4,1/1,-
2012,15/11,-,13/9,0/2,2/0,-
2011,4/5,0/1,4/3,0/1,-,-
2010,0/2,-,-,0/2,-,-
