Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,27/39,0/3,27/36,-,-,-
2024,9/9,0/1,9/8,-,-,-
2023,4/9,-,4/9,-,-,-
2022,7/15,0/2,7/13,-,-,-
2021,7/6,-,7/6,-,-,-
