Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,77/38,5/9,67/27,-,5/2,-
2024,28/16,5/5,23/11,-,-,-
2023,42/13,-,37/11,-,5/2,-
2022,7/4,-,7/4,-,-,-
2021,0/4,0/4,-,-,-,-
2019,0/1,-,0/1,-,-,-
