Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,79/106,33/35,41/62,2/2,-,3/7
2024,23/19,10/8,10/10,-,-,3/1
2023,10/13,6/9,4/4,-,-,-
2022,16/18,9/8,7/7,-,-,0/3
2021,4/9,3/3,1/4,0/1,-,0/1
2020,8/22,-,8/21,-,-,0/1
2019,8/10,1/1,5/8,2/1,-,-
2018,9/13,4/5,5/7,-,-,0/1
2017,1/2,0/1,1/1,-,-,-
