Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,75/51,74/47,1/4,-,-,-
2024,14/10,13/8,1/2,-,-,-
2023,33/23,33/21,0/2,-,-,-
2022,24/15,24/15,-,-,-,-
2021,4/3,4/3,-,-,-,-
