Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,18/30,-,18/30,-,-,-
2024,4/12,-,4/12,-,-,-
2023,8/9,-,8/9,-,-,-
2022,6/9,-,6/9,-,-,-
