Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.08.2024,Misasi G.,2,,,,,,"['3', '2']","['2', '3', '4', '3']","['3', '1', '6', '2']",[],[],3.74
08.08.2024,Perruzza V.,1,,,,,,[],"['2', '0', '5', '5']",[],[],[],1.21
06.08.2024,Perruzza V.,2,,,,,,"['3', '1', '7', '5']","['2', '2', '4', '4', '6', '4']",[],[],[],3.37
06.08.2024,Chirita I. A.,0,,,,,,"['4', '5']","['2', '1', '3', '2']",[],[],[],1.29
01.08.2024,Lopez Morillo I.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.31
01.08.2024,Perruzza V.,0,,,,,,[],[],[],[],[],3.24
31.07.2024,Perruzza V.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.31
31.07.2024,Bueno Gil A.,0,,,,,,[],"['1', '1']",[],[],[],3.24
24.07.2024,Cina F.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.23
24.07.2024,Perruzza V.,0,,,,,,[],[],[],[],[],3.86
17.07.2024,Noce G. M.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '3']","['4', '3', '6', '3']",[],[],1.44
17.07.2024,Perruzza V.,1,,,,,,[],"['3', '2']",[],[],[],2.65
05.06.2024,Potenza L.,2,,,,,,"['1', '0', '6', '5']","['1', '0', '5', '4']",[],[],[],1.18
05.06.2024,Perruzza V.,1,,,,,,"['1', '1']","['4', '4', '5', '5', '7', '5']",[],[],[],4.47
22.05.2024,Baroni N.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.47
22.05.2024,Perruzza V.,0,,,,,,"['1', '1']","['1', '3']",[],[],[],2.56
09.04.2024,Ferrari G.,2,,,,,,"['1', '1']","['2', '0', '4', '0', '6', '0']","['3', '1', '6', '2']",[],[],1.29
09.04.2024,Perruzza V.,1,,,,,,"['1', '0', '3', '2']",[],[],[],[],3.37
29.11.2023,Noce G. M.,2,,,,,,"['4', '2', '7', '5']","['2', '2', '4', '4']",[],[],[],2.33
29.11.2023,Perruzza V.,0,,,,,,"['3', '4']","['2', '1', '3', '2']",[],[],[],1.55
28.11.2023,Perruzza V.,2,,,,,,"['1', '2', '3', '4', '5', '4']",[],"['2', '0', '5', '1']",[],[],1.28
28.11.2023,Jeran A.,1,,,,,,"['2', '0', '4', '2']","['3', '1']",[],[],[],3.43
20.09.2023,Manzanera Pertusa A.,2,,,,,,"['1', '0']","['1', '0', '3', '0']",[],[],[],1.55
20.09.2023,Perruzza V.,0,,,,,,[],[],[],[],[],2.33
14.09.2023,Manda C.,2,,,,,,[],[],[],[],[],1.67
14.09.2023,Perruzza V.,0,,,,,,[],[],[],[],[],2.10
12.09.2023,Perruzza V.,2,,,,,,[],[],[],[],[],1.74
12.09.2023,March A. C.,1,,,,,,[],[],[],[],[],1.98
07.09.2023,Lane L.,2,,,,,,[],[],[],[],[],1.68
07.09.2023,Perruzza V.,1,,,,,,[],[],[],[],[],2.06
06.09.2023,Perruzza V.,2,,,,,,[],[],[],[],[],1.05
06.09.2023,Kusiewicz P.,0,,,,,,[],[],[],[],[],8.15
31.08.2023,Hartenstein J. P.,1,,,,,,[],[],[],[],[],2.19
31.08.2023,Perruzza V.,0,,,,,,[],[],[],[],[],1.62
30.08.2023,Perruzza V.,2,,,,,,[],[],[],[],[],1.75
30.08.2023,Kielan S.,0,,,,,,[],[],[],[],[],1.97
24.08.2023,Panak Y.,2,,,,,,"['2', '1', '6', '5']","['2', '0', '4', '4', '7', '5']",[],[],[],2.43
24.08.2023,Perruzza V.,0,,,,,,"['3', '3', '6', '6']","['1', '2', '4', '3']",[],[],[],1.51
