Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,73/59,69/52,4/7,-,-,-
2024,13/17,13/17,-,-,-,-
2023,32/27,32/25,0/2,-,-,-
2022,28/13,24/9,4/4,-,-,-
2018,0/2,0/1,0/1,-,-,-
