Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,256/240,215/196,26/32,-,-,15/12
2024,17/14,17/14,-,-,-,-
2023,35/40,25/30,0/1,-,-,10/9
2022,35/32,29/26,1/3,-,-,5/3
2021,25/35,25/35,-,-,-,-
2020,5/15,0/7,5/8,-,-,-
2019,37/27,37/27,-,-,-,-
2018,46/31,39/23,7/8,-,-,-
2017,36/27,28/20,8/7,-,-,-
2016,20/19,15/14,5/5,-,-,-
