Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,366/225,120/82,179/99,51/25,9/12,7/7
2024,10/7,4/3,3/2,3/2,-,-
2023,25/18,3/3,18/10,1/2,0/2,3/1
2022,31/21,9/7,15/11,7/2,0/1,-
2021,29/22,8/5,14/11,7/4,0/2,-
2020,3/10,1/4,2/6,-,-,-
2019,39/24,8/6,25/12,3/1,2/3,1/2
2018,35/18,9/4,18/10,2/1,4/2,2/1
2017,30/15,11/5,18/9,-,1/1,-
2016,30/21,15/9,12/10,-,2/1,1/1
2015,45/27,28/17,15/7,2/1,-,0/2
2014,29/17,8/9,16/5,5/3,-,-
2013,53/14,14/6,23/6,16/2,-,-
2012,3/3,0/1,-,3/2,-,-
2011,2/5,2/2,-,0/3,-,-
2010,1/2,0/1,-,1/1,-,-
2009,1/1,-,-,1/1,-,-
