Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,318/278,260/203,43/47,14/25,-,1/3
2024,11/13,8/10,3/3,-,-,-
2023,25/32,21/24,3/4,0/1,-,1/3
2022,42/35,39/31,3/3,0/1,-,-
2021,30/21,30/21,-,-,-,-
2020,1/10,0/2,1/5,0/3,-,-
2019,27/30,26/26,1/4,-,-,-
2018,35/30,31/23,3/4,1/3,-,-
2017,48/30,46/25,2/2,0/3,-,-
2016,40/30,30/20,9/9,1/1,-,-
2015,28/24,17/12,4/7,7/5,-,-
2014,24/13,10/6,14/5,0/2,-,-
2013,4/7,0/2,-,4/5,-,-
2012,2/2,2/1,-,0/1,-,-
2011,1/0,-,-,1/0,-,-
2010,0/1,-,0/1,-,-,-
