Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA) - Qualification,hard,header
19.08. 20:45,Squire H.,1,6^1,7^8,2,,,7,8,60%,67% (55/82),47% (26/55),79% (11/14),11% (7/61),55% (24/44),33% (1/3),5,59% (81/137),30% (31/105),46% (112/242),3,81% (13/16),6% (1/16),44% (14/32),"['4', '3']",[],[],[],[],1.78
19.08. 20:45,Burruchaga R. A.,2,7^7,6^6,6,,,15,9,58%,89% (54/61),45% (20/44),67% (2/3),33% (27/82),53% (29/55),21% (3/14),7,70% (74/105),41% (56/137),54% (130/242),4,94% (15/16),19% (3/16),56% (18/32),"['5', '5']",[],"['4', '2', '6', '2']",[],[],2.04
CHALLENGER MEN - SINGLES :  Bonn (Germany),clay,header
09.08. 20:35,Squire H.,0,4,3,,,,2,7,52%,70% (23/33),35% (11/31),60% (6/10),34% (11/32),26% (6/23),100% (2/2),4,53% (34/64),31% (17/55),43% (51/119),2,56% (5/9),20% (2/10),37% (7/19),[],"['2', '1', '3', '4']",[],[],[],1.78
09.08. 20:35,Marterer M.,2,6,6,,,,2,1,58%,66% (21/32),74% (17/23),0% (0/2),30% (10/33),65% (20/31),40% (4/10),6,69% (38/55),47% (30/64),57% (68/119),3,80% (8/10),44% (4/9),63% (12/19),"['6', '4']","['2', '2', '4', '2', '5', '3']",[],[],[],1.97
07.08. 18:05,Squire H.,2,6,7^11,,,,9,3,54%,82% (36/44),49% (18/37),80% (8/10),35% (13/37),47% (22/47),60% (3/5),6,67% (54/81),42% (35/84),54% (89/165),4,82% (9/11),27% (3/11),55% (12/22),"['3', '4', '5', '4']","['4', '5']",[],[],[],1.64
07.08. 18:05,Klizan M.,0,4,6^9,,,,5,5,44%,65% (24/37),53% (25/47),40% (2/5),18% (8/44),51% (19/37),20% (2/10),6,58% (49/84),33% (27/81),46% (76/165),3,73% (8/11),18% (2/11),45% (10/22),"['4', '2']","['3', '1']",[],[],[],2.20
06.08. 16:00,Squire H.,2,6,6,,,,3,4,65%,72% (31/43),52% (12/23),88% (7/8),38% (10/26),40% (8/20),75% (3/4),7,65% (43/66),39% (18/46),54% (61/112),3,90% (9/10),33% (3/9),63% (12/19),"['3', '1']","['4', '3', '5', '4']",[],[],[],1.29
06.08. 16:00,Milev Y.,0,3,4,,,,2,1,57%,62% (16/26),60% (12/20),25% (1/4),28% (12/43),48% (11/23),13% (1/8),7,61% (28/46),35% (23/66),46% (51/112),1,67% (6/9),10% (1/10),37% (7/19),[],"['4', '4']",[],[],[],3.43
CHALLENGER MEN - SINGLES :  Luedenscheid (Germany),clay,header
