Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/69,12/10,74/59,-,-,-
2024,11/16,-,11/16,-,-,-
2023,26/14,1/1,25/13,-,-,-
2022,23/7,1/1,22/6,-,-,-
2019,15/18,3/5,12/13,-,-,-
2018,10/9,7/3,3/6,-,-,-
2017,1/2,-,1/2,-,-,-
2016,0/3,-,0/3,-,-,-
