Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/29,7/7,25/19,1/3,-,-
2024,7/7,6/4,1/3,-,-,-
2023,8/10,1/1,7/8,0/1,-,-
2022,12/7,-,11/5,1/2,-,-
2021,6/4,0/1,6/3,-,-,-
2018,0/1,0/1,-,-,-,-
