Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,427/332,381/272,40/49,3/4,2/6,1/1
2024,3/1,3/1,-,-,-,-
2023,13/4,13/4,-,-,-,-
2022,12/10,12/10,-,-,-,-
2021,17/28,17/24,0/3,-,0/1,-
2020,9/14,7/9,1/4,-,-,1/1
2019,35/29,27/14,6/9,0/3,2/3,-
2018,53/24,53/22,0/1,-,0/1,-
2017,52/28,41/22,8/5,3/1,-,-
2016,31/35,28/29,3/6,-,-,-
2015,35/27,32/23,3/4,-,-,-
2014,30/25,21/18,9/6,-,0/1,-
2013,48/24,39/16,9/8,-,-,-
2012,46/29,46/29,-,-,-,-
2011,18/27,17/24,1/3,-,-,-
2010,22/20,22/20,-,-,-,-
2009,2/3,2/3,-,-,-,-
2008,1/4,1/4,-,-,-,-
