Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,207/160,115/90,86/57,3/7,-,3/6
2024,14/17,9/13,5/4,-,-,-
2023,51/31,25/16,26/14,0/1,-,-
2022,25/25,7/11,15/8,0/1,-,3/5
2021,51/24,35/16,14/5,2/3,-,-
2020,10/9,9/4,1/5,-,-,-
2019,23/22,5/8,17/11,1/2,-,0/1
2018,21/18,14/10,7/8,-,-,-
2017,11/12,10/10,1/2,-,-,-
2016,1/2,1/2,-,-,-,-
